id_unico,Serie,Temporada,Episodio,Nombre_Completo,Fecha_alaire,Premier,Cod_Pais,Pais,Tipo_#,Tipo,Estado_Film_#,Estado_Film,Genero_1_#,Genero_1,Genero_2,Genero_3,Genero_4,Avg_Runtime,Avg_rating,pag_web
2033295,33-rebenka-,1,12 серия,33-rebenka-1x12-12-seria,2020-12-01,2020-12-01,nan,nan,1,regular,0,Ended,0,,,,,13.0,,https://www.tvmaze.com/episodes/2033295/33-rebenka-1x12-12-seria
2024906,el-anesa-farah-,2,Episode 13,el-anesa-farah-2x13-episode-13,2020-12-01,2019-12-29,nan,nan,1,regular,0,Ended,7,Drama,Comedy,,,40.0,,https://www.tvmaze.com/episodes/2024906/el-anesa-farah-2x13-episode-13
2032514,booba-,1,Underwater Adventure,booba-1x72-underwater-adventure,2020-12-01,2014-11-10,nan,nan,1,regular,1,Running,5,Comedy,Children,,,5.0,,https://www.tvmaze.com/episodes/2032514/booba-1x72-underwater-adventure
2047631,kids-teaching-idol-,1,Hand-pulling noodles,kids-teaching-idol-1x03-hand-pulling-noodles,2020-12-01,2020-11-24,nan,nan,1,regular,0,Ended,5,Comedy,Children,Music,,16.0,,https://www.tvmaze.com/episodes/2047631/kids-teaching-idol-1x03-hand-pulling-noodles
2093128,countdown-to-i-do-,1,Karina & Darren's £60k Wedding,countdown-to-i-do-1x01-karina-darrens-60k-wedding,2020-12-01,2020-12-01,nan,nan,1,regular,2,To Be Determined,0,,,,,23.0,,https://www.tvmaze.com/episodes/2093128/countdown-to-i-do-1x01-karina-darrens-60k-wedding
2093130,countdown-to-i-do-,1,Cayla & Luke Marrying Mr Laid Back,countdown-to-i-do-1x02-cayla-luke-marrying-mr-laid-back,2020-12-01,2020-12-01,nan,nan,1,regular,2,To Be Determined,0,,,,,23.0,,https://www.tvmaze.com/episodes/2093130/countdown-to-i-do-1x02-cayla-luke-marrying-mr-laid-back
2093131,countdown-to-i-do-,1,Amie & Caolan's Big Vs Small Wedding,countdown-to-i-do-1x03-amie-caolans-big-vs-small-wedding,2020-12-01,2020-12-01,nan,nan,1,regular,2,To Be Determined,0,,,,,23.0,,https://www.tvmaze.com/episodes/2093131/countdown-to-i-do-1x03-amie-caolans-big-vs-small-wedding
2093132,countdown-to-i-do-,1,Hannah & Olly's DIY Wedding,countdown-to-i-do-1x04-hannah-ollys-diy-wedding,2020-12-01,2020-12-01,nan,nan,1,regular,2,To Be Determined,0,,,,,23.0,,https://www.tvmaze.com/episodes/2093132/countdown-to-i-do-1x04-hannah-ollys-diy-wedding
2203396,la-mas-draga-,3,Gran Final La Más Draga 3 LIVE,la-mas-draga-3x11-gran-final-la-mas-draga-3-live,2020-12-01,2018-05-08,nan,nan,1,regular,1,Running,0,,,,,,,https://www.tvmaze.com/episodes/2203396/la-mas-draga-3x11-gran-final-la-mas-draga-3-live
2318095,bride-of-beirut-,2,Episode 39,bride-of-beirut-2x39-episode-39,2020-12-01,2019-09-01,nan,nan,1,regular,1,Running,7,Drama,Romance,,,,,https://www.tvmaze.com/episodes/2318095/bride-of-beirut-2x39-episode-39
2379925,du-bu-,1,Episode 48,du-bu-xiao-yao-1x48-episode-48,2020-12-01,2020-06-18,nan,nan,1,regular,1,Running,0,,,,,12.0,,https://www.tvmaze.com/episodes/2379925/du-bu-xiao-yao-1x48-episode-48
2287785,kono-koi-atatamemasu-ka-,1,The night when I like it ... Fate keeps two people together!,kono-koi-atatamemasu-ka-1x07-the-night-when-i-like-it-fate-keeps-two-people-together,2020-12-01,2020-10-20,nan,nan,1,regular,0,Ended,7,Drama,Food,Romance,,59.0,,https://www.tvmaze.com/episodes/2287785/kono-koi-atatamemasu-ka-1x07-the-night-when-i-like-it-fate-keeps-two-people-together
1976871,nfl-fi,2020,Sights and Sounds of Success,nfl-films-presents-2020-12-01-sights-and-sounds-of-success,2020-12-01,1999-08-23,KR,"Korea, Republic of",1,regular,1,Running,0,,,,,30.0,,https://www.tvmaze.com/episodes/1976871/nfl-films-presents-2020-12-01-sights-and-sounds-of-success
2311017,toki-wo-kakeru-bando-,1,CHAHHAN SANE,toki-wo-kakeru-bando-1x07-chahhan-sane,2020-12-01,2020-10-20,JP,Japan,1,regular,0,Ended,5,Comedy,Music,Science-Fiction,,26.0,,https://www.tvmaze.com/episodes/2311017/toki-wo-kakeru-bando-1x07-chahhan-sane
